			 			12252
Microsoft Research, Northeast Harbor, ME, USA			Microsoft			1
Microsoft Research, One Microosoft Way, 98052 Redmond, WA			Microsoft			1
Microsoft Research, One Microsoft Way Redmond, WA, USA			Microsoft			1
Microsoft Research, One Microsoft Way, Redmond			Microsoft			1
Microsoft Research, One Microsoft Way, Redmond WA 98052, USA			Microsoft			1
Microsoft Research, One Microsoft Way, Redmond WA USA. ravirama@microsoft.com			Microsoft			1
Microsoft Research, One Microsoft Way, Redmond WA USA. surajitc@microsoft.com			Microsoft			1
Microsoft Research, One Microsoft Way, Redmond WA USA. viveknar@microsoft.com			Microsoft			1
Microsoft Research, One Microsoft Way, Redmond, WA 98052 and Microsoft Research India Private Limited, "Scientia", Bangalore, India 560080			Microsoft			1
Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA			Microsoft			1
Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA. arvinda@microsoft.com			Microsoft			1
Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA. skaushi@microsoft.com			Microsoft			1
Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA. surajitc@microsoft.com			Microsoft			1
Microsoft Research, One Microsoft Way, Redmond, WA, 98052, USA			Microsoft			1
Microsoft Research, Redmond, IL, USA			Microsoft			1
Microsoft Research, Redmond, India			Microsoft			1
Microsoft Research, Redmond, Redmond, USA			Microsoft			1
Microsoft Research, Redmond, U.S.A. 98052-6399			Microsoft			1
Microsoft Research, Redmond, WA 98052 USA			Microsoft			1
Microsoft Research, Redmond, WA 98052, USA			Microsoft			1
Microsoft Research, Redmond, WA and CWI, Amsterdam, The Netherlands			Microsoft			1
Microsoft Research, Redmond, WA, U.S.A. dongxin@microsoft.com			Microsoft			1
Microsoft Research, Redmond, WA, Uae			Microsoft			1
Microsoft Research, Redmond,WA			Microsoft			1
Microsoft Research, Remond, WA			Microsoft			1
Microsoft Research, Remond, Washington, USA			Microsoft			1
Microsoft Research, San Francisco, CA			Microsoft			1
Microsoft Research, Seattle, USA			Microsoft			1
Microsoft Research, Silicon Valley Campus, Mountain View, USA			Microsoft			1
Microsoft Research, Silicon Valley,			Microsoft			1
Microsoft Research, Silicon Valley, CA and University of California, Santa Cruz, Santa Cruz, CA, USA			University of California, Santa Cruz			1
Microsoft Research, Silicon Valley, CA, USA			Microsoft			1
Microsoft Research, Silicon Valley, Mountain View, California			Microsoft			1
Microsoft Research, Silicon Valley, Mountain View, California, USA			Microsoft			1
Microsoft Research, Toronto, Canada			Microsoft			1
Microsoft Research, UC Santa Barbara			Microsoft			1
Microsoft Research, UK			Microsoft			1
Microsoft Research, University of California, Berkeley, CA			University of California, Berkeley			1
Microsoft Research, WA, U.S.A.			Microsoft			1
Microsoft Research, and IMPA			Microsoft			1
Microsoft Research, bangalore, India			Microsoft			1
Microsoft Research,Cambridge, England			Microsoft			1
Microsoft Research--INRIA Joint Centre & TAO, INRIA Saclay--ÎÎle-de-France, Parc Orsay Université, Orsay Cedex, France 91893			Microsoft			1
Microsoft Research-University of Trento Centre for Computational and Systems Biology			Microsoft			1
Microsoft Research. sumann@microsoft.com			Microsoft			1
Microsoft Rsearch, One Microsoft Way Redmond, WA 98052, USA			Microsoft			1
Microsoft SQL Server, One Microsoft Way, Redmond, WA 98052. babuk@microsoft.com			Microsoft			1
Microsoft SQL Server, One Microsoft Way, Redmond, WA 98052. cesarg@microsoft.com			Microsoft			1
Microsoft SQL Server, One Microsoft Way, Redmond, WA 98052. milindj@microsoft.com			Microsoft			1
Microsoft SQL Server, One Microsoft Way, Redmond, WA 98052. pawelt@microsoft.com			Microsoft			1
Microsoft SQL Server, One Microsoft Way, Redmond, WA 98052. srinia@microsoft.com			Microsoft			1
Microsoft SQL Server, One Microsoft Way, Redmond, WA 98052. stefanis@microsoft.com			Microsoft			1
Microsoft SQL Server, Redmond, WA			Microsoft			1
Microsoft Search Asia			Microsoft			1
Microsoft Search Labs			Microsoft			1
Microsoft Search Labs, Mountain View, CA			Microsoft			1
Microsoft Search Labs, Mountain View, California			Microsoft			1
Microsoft Search Labs, Mountain View, USA 94043			Microsoft			1
Microsoft Search Technology Center, Beijing, China			Microsoft			1
Microsoft Speech Labs | Microsoft Research, Mountain View, CA			Microsoft			1
Microsoft Speech Labs, Mountain View, CA			Microsoft			1
Microsoft Windows Reliability Team & University of Washington, Redmond, WA, USA			University of Washington			1
Microsoft adCenter Labs, One Microsoft Way, Redmond, WA			Microsoft			1
Microsoft adCenter Labs, Redmond, WA			Microsoft			1
Microsoft adCenter Labs, Redmond, WA, USA			Microsoft			1
Microsoft in Redmond, WA			Microsoft			1
Microsoft research, Cambridge, United Kingdom			Microsoft			1
Microsoft,			Microsoft			1
Microsoft, Bangalore, India			Microsoft			1
Microsoft, Beijing, China			Microsoft			1
Microsoft, Bellevue			Microsoft			1
Microsoft, Cambridge , MA, USA			Microsoft			1
Microsoft, Cambridge, United Kngdm			Microsoft			1
Microsoft, Hyderabad, India			Microsoft			1
Microsoft, Inc., Seattle			Microsoft			1
Microsoft, Mountain View, USA			Microsoft			1
Microsoft, One Microsoft Way, Redmond, USA 98052			Microsoft			1
Microsoft, Red, WA, USA			Microsoft			1
Microsoft, Redmond, USA 98052			Microsoft			1
Microsoft, Redmond, WA and College of Computing, Georgia Institute of Technology, Atlanta, GA			Georgia Institute of Technology			1
Microsoft, Redmond, WA and Department of Computer Science and Engineering, State University of New York at Buffalo, Buffalo, NY			State University of New York, Buffalo			1
Microsoft, Redmond, WA and Department of Computer Science, University of Minnesota, Minneapolis, MN			University of Minnesota			1
Microsoft, Redmond, WA and Department of Electrical and Computer Engineering, University of Miami, Coral Gables, FL			Microsoft			1
Microsoft, Richmond, VA, USA			Microsoft			1
Microsoft, USA. nicolasb@microsoft.com			Microsoft			1
Microsoft, USA. pablo.castro@microsoft.com			Microsoft			1
Microsoft, USA. robert.mccann@microsoft.com			Microsoft			1
Microsoft-INRIA joint center, Orsay, France			Microsoft			1
Microstrategy, Carlsbad, CA, USA			 			1
Microtune Inc., Boulder, CO			 			1
Micsrosoft Research, Mountain View, CA, USA			 			1
Middle East Technical University, Ankara and Ondokuz Mayis University, Samsun			 			1
Middle East Technical University, Ankara, Turkey and Aalto University, Helsinki, Finland			University of Helsinki			1
Middle East Technical University, Dept. of Computer Engineering			 			1
Middle East Technical University, Dept. of Computer Engineering and University of Calgary, Dept. of Computer Science			University of Calgary			1
Middle Road Software			 			1
Middle Road Software, McMaster University and the University of Limerick			McMaster University			1
Middlebury College, Middlebury, VT			 			1
Middlesex University, London			Kings College London			1
Middlesex University, London, UK			Kings College London			1
Middlesex University, London, United Kingdom			Kings College London			1
Midwestern University			 			1
Millersville University, Millersville, PA			 			1
Mimemakers Inc., Espoo, Finland			 			1
Mindspeed Technologies			 			1
Mines ParisTech, Institut Curie, Fontainebleau, France			 			1
Mines ParisTech, Paris, France			 			1
Mines-ParisTech, Paris, France			 			1
Ming Chuan University, Taoyuan, Taiwan			 			1
Minister of Information and Communication of Korea			 			1
Ministry of Communication, Kabul, Afghanistan			 			1
Ministry of Education) and School of EECS, Peking University, Beijing, P.R. China			Peking University			1
Ministry of Education), Research Center for Learning Science, Southeast University, Nanjing 210096, China			 			1
Ministry of Education), and School of EECS, Peking University			Peking University			1
Minjiang University			 			1
Minnesota			 			1
Mirosoft Research India, Bangalore, India			 			1
Mission College Blvd., Santa Clara, CA			 			1
Mission Critical Technologies Inc | NASA Ames Research Center, Moffett Field, CA, USA			 			1
Mission Critical Technologies Inc., NASA Ames Research Center, Moffett Field, CA			 			1
Mississippi State University in Starkville, MS			 			1
Mississippi State University, USA			 			1
Mississppi State University, Mississippi State			 			1
Missouri Science and Technology University, Rolla			 			1
Missouri State University			 			1
Missouri State University, MO			 			1
Missouri State University, Springfield, MO			 			1
Missouri University of Science and Technologu, Rolla			 			1
Missouri University of Science and Technology, Rolla			 			1
Mitsubishi Electric Research Lab, Cambridge			 			1
Mitsubishi Electric Research Laboratories 201 Broadway, Cambridge, MA			 			1
Mitsubishi Electric Research Laboratories and ETH Zürich			 			1
Mitsubishi Electric Research Laboratories, 201 Broadway, Cambridge, MA 02139, USA			 			1
Mitsubishi Electric Research Laboratories, Cambridge, MA, USA and University of Toronto, Toronto, ON, Canada			University of Toronto			1
Mitsubishi Electric Research Labs Cambridge, MA			 			1
Mitsubishi Electric Research Labs, Cambridge, MA and Centre for Automation Research and Electrical and Computer Engineering Department, University of Maryland, College Park, MD			University of Maryland			1
Mitsubishi Electric Research Labs, Cambridge, USA			 			1
Mitsubishi Electric Research Labs, Tsinghua University, Cambridge, Beijing, China			University of Cambridge			1
Mitsubishi Electric Research Labs, University of Toronto, Cambridge, USA			University of Toronto			1
Mitsubishi Electric, Kamakura, Kanagawa, Japan			 			1
Mitsubishi Heavy Industries			 			1
Mixed Reality Lab, University of Nottingham, Nottingham, UK			The University of Nottingham			1
Mixrosoft Research, Cambridge, MA, and Columbia University, New York, New York, USA			Columbia University			1
Mjølner Informatics A/S, Århus N, Denmark			 			1
MoE), Peking University., Beijing, China			Peking University			1
Mobidia Inc., Richmond			 			1
Mobile Communications Department, Eurecom Institute, Sophia-Antipolis, France			 			1
Mobile Life @ Stockholm University, Gothenburg, Sweden			Stockholm University			1
Mobile Life VinnExcellence Centre			 			1
Mobile Life, Kista, Sweden			 			1
Mobile) Ltd., Hong Kong, China			 			1
Mobileye Vision Technologies, Princeton, USA			 			1
Mobility Group Wireless Standard and Technology Organization, Intel Corporation, Hillsboro, OR			Intel			1
Moderator, Assistant Professor, Department of Computer Science, Johns Hopkins University.			Johns Hopkins University			1
Modyco, Université Paris			 			1
Mojix, Inc. and Electrical Engineering Department, University of California, Los Angeles, CA			University of California, Los Angeles			1
Mojix, Los Angeles			 			1
Moka5, CA, USA. plinga@gmail.com			 			1
Molde University College and University of Bergen			 			1
Monash University Malaysia			Monash University			1
Monash University, Clayton, Vic, Australia			Monash University			1
Monash University, Victoria			Monash University			1
Monmouth University			 			1
Monmouth University, West Long Branch, NJ			 			1
Montana State University, MT			 			1
Montclair State University in Montclair, N J.			 			1
Montclair State University in Montclair, NJ			 			1
Montclair State University, Montclair, NJ			 			1
Montclair State University, Montclair, NJ, USA			 			1
Montefiore Medical Center			 			1
Monterey Bay Aquarium Research Institute, CA			 			1
Montreal Neurological Institute, McGill University, Montreal, Quebec, Canada			McGill University			1
Morgan Stanley			 			1
Morgan Stanley, New York, NY and School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN			Purdue University			1
Morgan State University			 			1
Morgan State University, Baltimore			 			1
Morning Star Semiconductor Inc., Hsinchu, Taiwan			 			1
Moscow Institute of Physics and Technology, Moscow			 			1
Moscow State University, Moscow, Russian Fed.			 			1
Moscow State University, Russia, Moscow			 			1
Moseley Wireless Solutions Group, Santa Barbara, CA and Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA			University of California, Santa Barbara			1
Mote Marine Laboratory			 			1
Motion Picture Expert Group, Villar Dora, Italy and Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan			National Cheng Kung University			1
Motorola Inc			 			1
Motorola Inc., Arlington Heights, IL			 			1
Motorola Inc., Schaumburg, IL, USA			 			1
Motorola Inc., Torino, Italy			 			1
Motorola India Research Lab, Bangalore, India			 			1
Motorola Laboratories			 			1
Motorola Labs, Marlborough, MA			 			1
Motorola Labs, Schaumburg, USA 60196			 			1
Motorola, Arlington Heights, IL, USA			 			1
Motorola, Inc.			 			1
Motorola, Inc. / Nanyang Technological University, Schaumburg, IL, USA			Nanyang Technological University			1
Motorola, Inc., Sunnyvale, California			 			1
Motorolla, Chicago, IL, USA			 			1
